candidate_id,content_index,content_class_id,content_class,style_index,style_class_id,style_class,alpha,output_path,review_path,accepted,rejection_reason
conflict_001,6455,0,airplane,5705,8,ship,0.8,results/cue_conflicts/candidates/conflict_001.png,results/cue_conflicts/review/conflict_001.jpg,no,style not visible
conflict_002,1175,0,airplane,5525,8,ship,0.8,results/cue_conflicts/candidates/conflict_002.png,results/cue_conflicts/review/conflict_002.jpg,no,style not visible
conflict_003,4819,0,airplane,1783,8,ship,0.8,results/cue_conflicts/candidates/conflict_003.png,results/cue_conflicts/review/conflict_003.jpg,no,style not visible
conflict_004,1596,0,airplane,5000,8,ship,0.8,results/cue_conflicts/candidates/conflict_004.png,results/cue_conflicts/review/conflict_004.jpg,yes,
conflict_005,6844,0,airplane,962,8,ship,0.8,results/cue_conflicts/candidates/conflict_005.png,results/cue_conflicts/review/conflict_005.jpg,yes,
conflict_006,1553,0,airplane,4170,8,ship,0.8,results/cue_conflicts/candidates/conflict_006.png,results/cue_conflicts/review/conflict_006.jpg,yes,
conflict_007,5117,0,airplane,4662,8,ship,0.8,results/cue_conflicts/candidates/conflict_007.png,results/cue_conflicts/review/conflict_007.jpg,yes,
conflict_008,7009,0,airplane,4990,8,ship,0.8,results/cue_conflicts/candidates/conflict_008.png,results/cue_conflicts/review/conflict_008.jpg,yes,
conflict_009,5999,0,airplane,3157,8,ship,0.8,results/cue_conflicts/candidates/conflict_009.png,results/cue_conflicts/review/conflict_009.jpg,yes,
conflict_010,7309,0,airplane,3948,8,ship,0.8,results/cue_conflicts/candidates/conflict_010.png,results/cue_conflicts/review/conflict_010.jpg,yes,
conflict_011,5478,0,airplane,739,8,ship,0.8,results/cue_conflicts/candidates/conflict_011.png,results/cue_conflicts/review/conflict_011.jpg,no,style not visible
conflict_012,7262,0,airplane,194,8,ship,0.8,results/cue_conflicts/candidates/conflict_012.png,results/cue_conflicts/review/conflict_012.jpg,yes,
conflict_013,42,0,airplane,7138,8,ship,0.8,results/cue_conflicts/candidates/conflict_013.png,results/cue_conflicts/review/conflict_013.jpg,yes,
conflict_014,3965,0,airplane,7810,8,ship,0.8,results/cue_conflicts/candidates/conflict_014.png,results/cue_conflicts/review/conflict_014.jpg,yes,
conflict_015,3347,0,airplane,2230,8,ship,0.8,results/cue_conflicts/candidates/conflict_015.png,results/cue_conflicts/review/conflict_015.jpg,yes,
conflict_016,2242,0,airplane,7875,8,ship,0.8,results/cue_conflicts/candidates/conflict_016.png,results/cue_conflicts/review/conflict_016.jpg,yes,
conflict_017,3083,0,airplane,2109,8,ship,0.8,results/cue_conflicts/candidates/conflict_017.png,results/cue_conflicts/review/conflict_017.jpg,no,severe artifact
conflict_018,81,0,airplane,151,8,ship,0.8,results/cue_conflicts/candidates/conflict_018.png,results/cue_conflicts/review/conflict_018.jpg,yes,
conflict_019,1389,0,airplane,7999,8,ship,0.8,results/cue_conflicts/candidates/conflict_019.png,results/cue_conflicts/review/conflict_019.jpg,yes,
conflict_020,6986,0,airplane,1954,8,ship,0.8,results/cue_conflicts/candidates/conflict_020.png,results/cue_conflicts/review/conflict_020.jpg,yes,
conflict_021,4893,0,airplane,3015,8,ship,0.8,results/cue_conflicts/candidates/conflict_021.png,results/cue_conflicts/review/conflict_021.jpg,no,severe artifact
conflict_022,7634,0,airplane,3905,8,ship,0.8,results/cue_conflicts/candidates/conflict_022.png,results/cue_conflicts/review/conflict_022.jpg,yes,
conflict_023,4399,0,airplane,2844,8,ship,0.8,results/cue_conflicts/candidates/conflict_023.png,results/cue_conflicts/review/conflict_023.jpg,yes,
conflict_024,3455,0,airplane,5451,8,ship,0.8,results/cue_conflicts/candidates/conflict_024.png,results/cue_conflicts/review/conflict_024.jpg,yes,
conflict_025,7465,0,airplane,4355,8,ship,0.8,results/cue_conflicts/candidates/conflict_025.png,results/cue_conflicts/review/conflict_025.jpg,yes,
conflict_026,2191,8,ship,4399,0,airplane,0.8,results/cue_conflicts/candidates/conflict_026.png,results/cue_conflicts/review/conflict_026.jpg,no,content not identifiable
conflict_027,716,8,ship,6844,0,airplane,0.8,results/cue_conflicts/candidates/conflict_027.png,results/cue_conflicts/review/conflict_027.jpg,yes,
conflict_028,4676,8,ship,4819,0,airplane,0.8,results/cue_conflicts/candidates/conflict_028.png,results/cue_conflicts/review/conflict_028.jpg,yes,
conflict_029,4170,8,ship,3876,0,airplane,0.8,results/cue_conflicts/candidates/conflict_029.png,results/cue_conflicts/review/conflict_029.jpg,no,severe artifact
conflict_030,4069,8,ship,7150,0,airplane,0.8,results/cue_conflicts/candidates/conflict_030.png,results/cue_conflicts/review/conflict_030.jpg,no,content not identifiable
conflict_031,1833,8,ship,3455,0,airplane,0.8,results/cue_conflicts/candidates/conflict_031.png,results/cue_conflicts/review/conflict_031.jpg,yes,
conflict_032,5000,8,ship,1977,0,airplane,0.8,results/cue_conflicts/candidates/conflict_032.png,results/cue_conflicts/review/conflict_032.jpg,yes,
conflict_033,2844,8,ship,6455,0,airplane,0.8,results/cue_conflicts/candidates/conflict_033.png,results/cue_conflicts/review/conflict_033.jpg,yes,
conflict_034,4662,8,ship,3965,0,airplane,0.8,results/cue_conflicts/candidates/conflict_034.png,results/cue_conflicts/review/conflict_034.jpg,yes,
conflict_035,4355,8,ship,5117,0,airplane,0.8,results/cue_conflicts/candidates/conflict_035.png,results/cue_conflicts/review/conflict_035.jpg,no,severe artifact
conflict_036,151,8,ship,1596,0,airplane,0.8,results/cue_conflicts/candidates/conflict_036.png,results/cue_conflicts/review/conflict_036.jpg,yes,
conflict_037,2109,8,ship,7309,0,airplane,0.8,results/cue_conflicts/candidates/conflict_037.png,results/cue_conflicts/review/conflict_037.jpg,yes,
conflict_038,706,8,ship,4615,0,airplane,0.8,results/cue_conflicts/candidates/conflict_038.png,results/cue_conflicts/review/conflict_038.jpg,yes,
conflict_039,739,8,ship,7320,0,airplane,0.8,results/cue_conflicts/candidates/conflict_039.png,results/cue_conflicts/review/conflict_039.jpg,yes,
conflict_040,1129,8,ship,7262,0,airplane,0.8,results/cue_conflicts/candidates/conflict_040.png,results/cue_conflicts/review/conflict_040.jpg,yes,
conflict_041,4552,8,ship,4539,0,airplane,0.8,results/cue_conflicts/candidates/conflict_041.png,results/cue_conflicts/review/conflict_041.jpg,yes,
conflict_042,3905,8,ship,2888,0,airplane,0.8,results/cue_conflicts/candidates/conflict_042.png,results/cue_conflicts/review/conflict_042.jpg,no,style not visible
conflict_043,2342,8,ship,2750,0,airplane,0.8,results/cue_conflicts/candidates/conflict_043.png,results/cue_conflicts/review/conflict_043.jpg,yes,
conflict_044,1783,8,ship,7009,0,airplane,0.8,results/cue_conflicts/candidates/conflict_044.png,results/cue_conflicts/review/conflict_044.jpg,yes,
conflict_045,1247,8,ship,42,0,airplane,0.8,results/cue_conflicts/candidates/conflict_045.png,results/cue_conflicts/review/conflict_045.jpg,no,content not identifiable
conflict_046,3412,8,ship,6986,0,airplane,0.8,results/cue_conflicts/candidates/conflict_046.png,results/cue_conflicts/review/conflict_046.jpg,yes,
conflict_047,4311,8,ship,1648,0,airplane,0.8,results/cue_conflicts/candidates/conflict_047.png,results/cue_conflicts/review/conflict_047.jpg,no,severe artifact
conflict_048,2745,8,ship,5918,0,airplane,0.8,results/cue_conflicts/candidates/conflict_048.png,results/cue_conflicts/review/conflict_048.jpg,yes,
conflict_049,7810,8,ship,1553,0,airplane,0.8,results/cue_conflicts/candidates/conflict_049.png,results/cue_conflicts/review/conflict_049.jpg,yes,
conflict_050,3015,8,ship,2024,0,airplane,0.8,results/cue_conflicts/candidates/conflict_050.png,results/cue_conflicts/review/conflict_050.jpg,yes,
conflict_051,6264,2,car,805,9,truck,0.8,results/cue_conflicts/candidates/conflict_051.png,results/cue_conflicts/review/conflict_051.jpg,yes,
conflict_052,6503,2,car,852,9,truck,0.8,results/cue_conflicts/candidates/conflict_052.png,results/cue_conflicts/review/conflict_052.jpg,yes,
conflict_053,1839,2,car,3893,9,truck,0.8,results/cue_conflicts/candidates/conflict_053.png,results/cue_conflicts/review/conflict_053.jpg,yes,
conflict_054,2082,2,car,1654,9,truck,0.8,results/cue_conflicts/candidates/conflict_054.png,results/cue_conflicts/review/conflict_054.jpg,no,severe artifact
conflict_055,5756,2,car,7752,9,truck,0.8,results/cue_conflicts/candidates/conflict_055.png,results/cue_conflicts/review/conflict_055.jpg,yes,
conflict_056,6692,2,car,5788,9,truck,0.8,results/cue_conflicts/candidates/conflict_056.png,results/cue_conflicts/review/conflict_056.jpg,yes,
conflict_057,5333,2,car,2351,9,truck,0.8,results/cue_conflicts/candidates/conflict_057.png,results/cue_conflicts/review/conflict_057.jpg,yes,
conflict_058,6271,2,car,2414,9,truck,0.8,results/cue_conflicts/candidates/conflict_058.png,results/cue_conflicts/review/conflict_058.jpg,yes,
conflict_059,1202,2,car,5284,9,truck,0.8,results/cue_conflicts/candidates/conflict_059.png,results/cue_conflicts/review/conflict_059.jpg,yes,
conflict_060,3067,2,car,7544,9,truck,0.8,results/cue_conflicts/candidates/conflict_060.png,results/cue_conflicts/review/conflict_060.jpg,yes,
conflict_061,3755,2,car,5447,9,truck,0.8,results/cue_conflicts/candidates/conflict_061.png,results/cue_conflicts/review/conflict_061.jpg,yes,
conflict_062,5030,2,car,603,9,truck,0.8,results/cue_conflicts/candidates/conflict_062.png,results/cue_conflicts/review/conflict_062.jpg,yes,
conflict_063,7425,2,car,3318,9,truck,0.8,results/cue_conflicts/candidates/conflict_063.png,results/cue_conflicts/review/conflict_063.jpg,yes,
conflict_064,6244,2,car,4094,9,truck,0.8,results/cue_conflicts/candidates/conflict_064.png,results/cue_conflicts/review/conflict_064.jpg,yes,
conflict_065,3163,2,car,5851,9,truck,0.8,results/cue_conflicts/candidates/conflict_065.png,results/cue_conflicts/review/conflict_065.jpg,yes,
conflict_066,1586,2,car,2062,9,truck,0.8,results/cue_conflicts/candidates/conflict_066.png,results/cue_conflicts/review/conflict_066.jpg,yes,
conflict_067,1520,2,car,7938,9,truck,0.8,results/cue_conflicts/candidates/conflict_067.png,results/cue_conflicts/review/conflict_067.jpg,yes,
conflict_068,6616,2,car,239,9,truck,0.8,results/cue_conflicts/candidates/conflict_068.png,results/cue_conflicts/review/conflict_068.jpg,no,style not visible
conflict_069,5237,2,car,2114,9,truck,0.8,results/cue_conflicts/candidates/conflict_069.png,results/cue_conflicts/review/conflict_069.jpg,yes,
conflict_070,3024,2,car,5590,9,truck,0.8,results/cue_conflicts/candidates/conflict_070.png,results/cue_conflicts/review/conflict_070.jpg,yes,
conflict_071,6426,2,car,5452,9,truck,0.8,results/cue_conflicts/candidates/conflict_071.png,results/cue_conflicts/review/conflict_071.jpg,yes,
conflict_072,3362,2,car,7995,9,truck,0.8,results/cue_conflicts/candidates/conflict_072.png,results/cue_conflicts/review/conflict_072.jpg,yes,
conflict_073,483,2,car,419,9,truck,0.8,results/cue_conflicts/candidates/conflict_073.png,results/cue_conflicts/review/conflict_073.jpg,no,severe artifact
conflict_074,5824,2,car,5301,9,truck,0.8,results/cue_conflicts/candidates/conflict_074.png,results/cue_conflicts/review/conflict_074.jpg,yes,
conflict_075,49,2,car,6931,9,truck,0.8,results/cue_conflicts/candidates/conflict_075.png,results/cue_conflicts/review/conflict_075.jpg,yes,
conflict_076,1468,9,truck,1839,2,car,0.8,results/cue_conflicts/candidates/conflict_076.png,results/cue_conflicts/review/conflict_076.jpg,yes,
conflict_077,3893,9,truck,6354,2,car,0.8,results/cue_conflicts/candidates/conflict_077.png,results/cue_conflicts/review/conflict_077.jpg,yes,
