method,class,count,accuracy,delta_pp,dominant_confusion,dominant_confusion_count
erm,dog,772,0.13730569948186527,0.0,elephant,318
erm,elephant,740,0.9662162162162162,0.0,giraffe,21
erm,giraffe,753,0.9110225763612217,0.0,elephant,47
erm,guitar,608,0.8289473684210527,0.0,giraffe,82
erm,horse,816,0.5698529411764706,0.0,giraffe,222
erm,house,80,0.9625,0.0,giraffe,2
erm,person,160,0.23125,0.0,giraffe,101
dan_dg,dog,772,0.0,-13.730569948186528,person,772
dan_dg,elephant,740,0.0,-96.62162162162163,person,740
dan_dg,giraffe,753,0.0,-91.10225763612218,person,753
dan_dg,guitar,608,0.0,-82.89473684210526,person,608
dan_dg,horse,816,0.0,-56.98529411764706,person,816
dan_dg,house,80,0.0,-96.25,person,80
dan_dg,person,160,1.0,76.875,,0
sam,dog,772,0.4067357512953368,26.94300518134715,elephant,407
sam,elephant,740,0.9918918918918919,2.5675675675675635,dog,5
sam,giraffe,753,0.5856573705179283,-32.536520584329345,elephant,220
sam,guitar,608,0.8125,-1.6447368421052655,elephant,112
sam,horse,816,0.3639705882352941,-20.588235294117645,elephant,419
sam,house,80,0.775,-18.75,elephant,13
sam,person,160,0.51875,28.750000000000004,elephant,67
sam_rho_0.01,dog,772,0.6113989637305699,47.409326424870464,person,142
sam_rho_0.01,elephant,740,0.577027027027027,-38.91891891891892,dog,225
sam_rho_0.01,giraffe,753,0.6201859229747676,-29.083665338645414,dog,120
sam_rho_0.01,guitar,608,0.875,4.6052631578947345,person,35
sam_rho_0.01,horse,816,0.2977941176470588,-27.205882352941174,dog,251
sam_rho_0.01,house,80,0.95,-1.2500000000000067,giraffe,2
sam_rho_0.01,person,160,0.7875,55.62499999999999,giraffe,21
sam_rho_0.1,dog,772,0.5272020725388601,38.98963730569948,person,212
sam_rho_0.1,elephant,740,0.5364864864864864,-42.972972972972975,dog,195
sam_rho_0.1,giraffe,753,0.18857901726427623,-72.24435590969456,person,365
sam_rho_0.1,guitar,608,0.9046052631578947,7.5657894736842035,dog,25
sam_rho_0.1,horse,816,0.5857843137254902,1.5931372549019662,person,178
sam_rho_0.1,house,80,0.7,-26.250000000000007,person,12
sam_rho_0.1,person,160,0.84375,61.25000000000001,dog,25
