group,image_index,unknown_class,predicted_known_class,score,threshold,semantic_interpretation
near,6418,camel,deer,-11.864910125732422,-5.813921093940735,
near,7564,fox,cat,-11.541337966918945,-5.813921093940735,
near,351,fox,cat,-11.349377632141113,-5.813921093940735,
near,5748,bus,truck,-11.252635955810547,-5.813921093940735,
near,720,wolf,dog,-11.22804069519043,-5.813921093940735,
near,1783,fox,cat,-11.172958374023438,-5.813921093940735,
near,6339,bus,truck,-11.169191360473633,-5.813921093940735,
near,7389,pickup_truck,automobile,-11.154648780822754,-5.813921093940735,
near,4677,leopard,cat,-11.089914321899414,-5.813921093940735,
near,7980,wolf,dog,-11.010564804077148,-5.813921093940735,
near,6967,wolf,dog,-11.00281810760498,-5.813921093940735,
near,4296,bus,truck,-10.93687915802002,-5.813921093940735,
near,7658,pickup_truck,automobile,-10.912421226501465,-5.813921093940735,
near,9081,pickup_truck,automobile,-10.906225204467773,-5.813921093940735,
near,8655,bus,truck,-10.850564956665039,-5.813921093940735,
near,959,fox,dog,-10.775059700012207,-5.813921093940735,
near,9453,fox,cat,-10.694019317626953,-5.813921093940735,
near,6055,leopard,cat,-10.685951232910156,-5.813921093940735,
near,6417,camel,bird,-10.579689025878906,-5.813921093940735,
near,214,wolf,cat,-10.537153244018555,-5.813921093940735,
near,7570,pickup_truck,truck,-10.529278755187988,-5.813921093940735,
near,9406,leopard,cat,-10.498268127441406,-5.813921093940735,
near,9790,wolf,cat,-10.465670585632324,-5.813921093940735,
near,4264,fox,deer,-10.414690017700195,-5.813921093940735,
near,8715,fox,cat,-10.388374328613281,-5.813921093940735,
near,6693,fox,cat,-10.363821029663086,-5.813921093940735,
near,809,wolf,dog,-10.330731391906738,-5.813921093940735,
near,3755,bus,truck,-10.310222625732422,-5.813921093940735,
near,9878,pickup_truck,automobile,-10.28982925415039,-5.813921093940735,
near,1985,bus,automobile,-10.269161224365234,-5.813921093940735,
near,1519,wolf,dog,-10.257366180419922,-5.813921093940735,
near,6653,pickup_truck,automobile,-10.253510475158691,-5.813921093940735,
near,1994,leopard,frog,-10.245827674865723,-5.813921093940735,
near,8535,wolf,cat,-10.233243942260742,-5.813921093940735,
near,4307,bus,truck,-10.185040473937988,-5.813921093940735,
near,9871,pickup_truck,truck,-10.176979064941406,-5.813921093940735,
near,4870,pickup_truck,automobile,-10.174558639526367,-5.813921093940735,
near,4506,pickup_truck,automobile,-10.147872924804688,-5.813921093940735,
near,7559,pickup_truck,automobile,-10.091434478759766,-5.813921093940735,
near,193,bus,truck,-10.074225425720215,-5.813921093940735,
near,2832,bus,truck,-10.040312767028809,-5.813921093940735,
