model,score,group,cifar100_class_id,count,rejection,unknown_class
vanilla,msp,near,13,100,0.14,bus
vanilla,msp,near,15,100,0.33,camel
vanilla,msp,near,34,100,0.3,fox
vanilla,msp,near,42,100,0.25,leopard
vanilla,msp,near,48,100,0.51,motorcycle
vanilla,msp,near,58,100,0.16,pickup_truck
vanilla,msp,near,89,100,0.31,tractor
vanilla,msp,near,97,100,0.16,wolf
vanilla,msp,far,9,100,0.53,bottle
vanilla,msp,far,10,100,0.45,bowl
vanilla,msp,far,20,100,0.45,chair
vanilla,msp,far,22,100,0.45,clock
vanilla,msp,far,39,100,0.37,keyboard
vanilla,msp,far,51,100,0.47,mushroom
vanilla,msp,far,82,100,0.4,sunflower
vanilla,msp,far,94,100,0.4,wardrobe
vanilla,mls,near,13,100,0.18,bus
vanilla,mls,near,15,100,0.46,camel
vanilla,mls,near,34,100,0.26,fox
vanilla,mls,near,42,100,0.3,leopard
vanilla,mls,near,48,100,0.68,motorcycle
vanilla,mls,near,58,100,0.12,pickup_truck
vanilla,mls,near,89,100,0.46,tractor
vanilla,mls,near,97,100,0.2,wolf
vanilla,mls,far,9,100,0.59,bottle
vanilla,mls,far,10,100,0.5,bowl
vanilla,mls,far,20,100,0.59,chair
vanilla,mls,far,22,100,0.44,clock
vanilla,mls,far,39,100,0.55,keyboard
vanilla,mls,far,51,100,0.53,mushroom
vanilla,mls,far,82,100,0.48,sunflower
vanilla,mls,far,94,100,0.36,wardrobe
vanilla,energy,near,13,100,0.18,bus
vanilla,energy,near,15,100,0.45,camel
vanilla,energy,near,34,100,0.24,fox
vanilla,energy,near,42,100,0.32,leopard
vanilla,energy,near,48,100,0.68,motorcycle
vanilla,energy,near,58,100,0.09,pickup_truck
vanilla,energy,near,89,100,0.47,tractor
vanilla,energy,near,97,100,0.2,wolf
vanilla,energy,far,9,100,0.59,bottle
vanilla,energy,far,10,100,0.5,bowl
vanilla,energy,far,20,100,0.61,chair
vanilla,energy,far,22,100,0.45,clock
vanilla,energy,far,39,100,0.54,keyboard
vanilla,energy,far,51,100,0.53,mushroom
vanilla,energy,far,82,100,0.48,sunflower
vanilla,energy,far,94,100,0.32,wardrobe
vanilla,mahalanobis,near,13,100,0.15,bus
vanilla,mahalanobis,near,15,100,0.27,camel
vanilla,mahalanobis,near,34,100,0.23,fox
vanilla,mahalanobis,near,42,100,0.22,leopard
vanilla,mahalanobis,near,48,100,0.52,motorcycle
vanilla,mahalanobis,near,58,100,0.11,pickup_truck
vanilla,mahalanobis,near,89,100,0.35,tractor
vanilla,mahalanobis,near,97,100,0.15,wolf
vanilla,mahalanobis,far,9,100,0.58,bottle
vanilla,mahalanobis,far,10,100,0.52,bowl
vanilla,mahalanobis,far,20,100,0.48,chair
vanilla,mahalanobis,far,22,100,0.55,clock
vanilla,mahalanobis,far,39,100,0.5,keyboard
vanilla,mahalanobis,far,51,100,0.45,mushroom
vanilla,mahalanobis,far,82,100,0.49,sunflower
vanilla,mahalanobis,far,94,100,0.44,wardrobe
gcsc,mls,near,13,100,0.15,bus
gcsc,mls,near,15,100,0.44,camel
gcsc,mls,near,34,100,0.37,fox
gcsc,mls,near,42,100,0.37,leopard
gcsc,mls,near,48,100,0.72,motorcycle
gcsc,mls,near,58,100,0.1,pickup_truck
gcsc,mls,near,89,100,0.48,tractor
gcsc,mls,near,97,100,0.21,wolf
gcsc,mls,far,9,100,0.72,bottle
gcsc,mls,far,10,100,0.55,bowl
gcsc,mls,far,20,100,0.67,chair
gcsc,mls,far,22,100,0.61,clock
gcsc,mls,far,39,100,0.68,keyboard
gcsc,mls,far,51,100,0.53,mushroom
gcsc,mls,far,82,100,0.65,sunflower
gcsc,mls,far,94,100,0.32,wardrobe
proser,mls,near,13,100,0.17,bus
proser,mls,near,15,100,0.44,camel
proser,mls,near,34,100,0.26,fox
proser,mls,near,42,100,0.32,leopard
proser,mls,near,48,100,0.66,motorcycle
proser,mls,near,58,100,0.11,pickup_truck
proser,mls,near,89,100,0.38,tractor
proser,mls,near,97,100,0.22,wolf
proser,mls,far,9,100,0.49,bottle
proser,mls,far,10,100,0.52,bowl
proser,mls,far,20,100,0.51,chair
proser,mls,far,22,100,0.53,clock
proser,mls,far,39,100,0.5,keyboard
proser,mls,far,51,100,0.48,mushroom
proser,mls,far,82,100,0.41,sunflower
proser,mls,far,94,100,0.34,wardrobe
proser,placeholder,near,13,100,0.18,bus
proser,placeholder,near,15,100,0.4,camel
proser,placeholder,near,34,100,0.28,fox
proser,placeholder,near,42,100,0.33,leopard
proser,placeholder,near,48,100,0.7,motorcycle
proser,placeholder,near,58,100,0.14,pickup_truck
proser,placeholder,near,89,100,0.37,tractor
proser,placeholder,near,97,100,0.2,wolf
proser,placeholder,far,9,100,0.44,bottle
proser,placeholder,far,10,100,0.52,bowl
proser,placeholder,far,20,100,0.44,chair
proser,placeholder,far,22,100,0.5,clock
proser,placeholder,far,39,100,0.49,keyboard
proser,placeholder,far,51,100,0.44,mushroom
proser,placeholder,far,82,100,0.38,sunflower
proser,placeholder,far,94,100,0.4,wardrobe
